Sample A,Sample B,U Statistic,p-value,Significant?
MA_2,Cl2_4,4589.0,0.006821940773449606,✅
HCN_2,Hydrazine_6,7074.0,0.006866478669018193,✅
Ammonia_3,Cl2_4,4591.0,0.006911879720011259,✅
H2S_3,Hydrazine_5,7072.5,0.0069345553942389134,✅
HCHO_2,Ammonia_6,7009.5,0.006952748196584119,✅
F2_7,SO2_6,7072.0,0.00695724746897135,✅
NO2_1,MH-7,7072.0,0.006957281060567939,✅
Phosgene_5,F2_5,4592.0,0.006957281060567939,✅
Phosgene_1,Hydrazine_5,7072.0,0.006957297856398365,✅
Control_3_2min,Phosgene_6,7071.5,0.006979787348827594,✅
Phosphine_5,MA_1,7071.0,0.007002781250328429,✅
Control_7_2min,F2_6,4593.0,0.007002916298598851,✅
Diborane_2,Phosgene_5,7071.0,0.007002933179729265,✅
NO2_4,HNO3_7,7071.0,0.007002966942054508,✅
DM_1,Cl2_7,4593.0,0.007002966942054508,✅
HCHO_6,MH-5,7070.5,0.007025758429074014,✅
Phosgene_5,SO2_3,4593.5,0.007025859972267357,✅
MA_1,F2_7,4594.0,0.007048769313394329,✅
Phosgene_2,Cl2_4,4594.0,0.007048837180354136,✅
Phosphine_6,Cl2_5,4594.0,0.007048888080799947,✅
H2S_5,Ammonia_1,7069.5,0.007071847836188519,✅
H2S_4,MH-4,7069.0,0.007094789537360888,✅
Arsine_1,Hydrazine_4,7069.0,0.0070948236423781265,✅
MH-6,HCN_7,4595.0,0.007094925957947507,✅
TA_7,Cl2_3,4595.0,0.007095028274293372,✅
HCHO_2,Diborane_4,7006.0,0.007114681886079487,✅
Phosgene_6,Ammonia_1,7068.5,0.007118259770542778,✅
NO2_7,MH-7,7067.5,0.0071648589257477325,✅
F2_5,HNO3_2,7067.0,0.00718820935727936,✅
F2_5,Hydrazine_1,7066.5,0.007211662651169399,✅
SO2_7,HNO3_2,7066.0,0.007235080738884997,✅
H2S_5,HNO3_6,7066.0,0.007235271179632797,✅
Phosphine_4,HF_1,7065.0,0.007282522248557087,✅
H2S_7,Hydrazine_5,7065.0,0.007282591849755295,✅
DM_1,HCN_1,4599.5,0.007306164263006831,✅
Ammonia_3,F2_5,4599.5,0.007306216594947685,✅
Diborane_6,TA_4,7064.5,0.007306251483017207,✅
HCHO_1,Cl2_5,4599.5,0.007306268927084643,✅
Ammonia_7,Cl2_4,4600.0,0.00733015501104003,✅
HCHO_1,F2_1,4600.5,0.007353953286901493,✅
Diborane_4,Cl2_1,4600.5,0.007353988350868186,✅
SO2_1,SO2_3,4601.0,0.007377838502069995,✅
Ammonia_3,SO2_2,4601.0,0.007377891230039119,✅
H2S_6,Ammonia_2,7062.5,0.0074017757229256536,✅
Phosgene_7,SO2_3,4601.5,0.007401899063582897,✅
MH-3,HCN_5,4601.5,0.007401899063582897,✅
Diborane_4,H2S_7,7062.5,0.007401916683764352,✅
Arsine_3,Hydrazine_5,7062.0,0.007425729663602244,✅
Phosgene_5,Hydrazine_7,7062.0,0.007426047620930848,✅
H2S_3,Ammonia_1,7062.0,0.007426047620930848,✅
TA_7,F2_5,4602.5,0.007450178230919215,✅
Phosgene_6,MH-6,7061.0,0.007474450183607921,✅
TA_7,SO2_2,4604.0,0.007523117641615877,✅
Arsine_5,MA_7,4604.0,0.007523153326405789,✅
Ammonia_5,SO2_3,4604.5,0.0075476024912870445,✅
MA_5,MH-2,7059.0,0.007572051146003015,✅
Phosgene_6,SO2_2,4605.0,0.007572051146003015,✅
HCN_7,HNO3_6,7059.0,0.007572122873399603,✅
Phosgene_1,Hydrazine_7,7058.0,0.00762135998115363,✅
Cl2_2,HNO3_2,7058.0,0.007621396024595297,✅
Ammonia_5,Cl2_7,4606.0,0.007621432068125402,✅
Arsine_4,Hydrazine_1,7057.5,0.007645679511836529,✅
Control_4_2min,F2_7,4607.0,0.007670666580950104,✅
F2_7,HCN_3,7057.0,0.00767079336262506,✅
Ammonia_5,SO2_5,4607.0,0.0076709201453855685,✅
HCHO_1,H2S_2,4608.0,0.007720641522963335,✅
Control_6_2min,TA_7,7056.0,0.007720677927607133,✅
DM_4,F2_5,4608.0,0.007720768939605169,✅
Ammonia_5,F2_2,4608.0,0.007720805344559799,✅
DM_2,F2_6,4608.0,0.007720805344559799,✅
Diborane_2,MH-3,7055.5,0.007745665165276071,✅
H2S_7,Hydrazine_7,7055.5,0.007745774651866058,✅
MH-4,SO2_6,4609.0,0.007770834633410835,✅
Diborane_4,Phosgene_5,7054.5,0.007796022283798636,✅
Phosgene_5,Ammonia_1,7053.0,0.007871987654315725,✅
Arsine_4,F2_7,4611.5,0.007897264993539887,✅
Control_5_2min,MH-2,7052.0,0.007922893677365473,✅
Control_4_2min,DM_3,7051.5,0.007948485065662638,✅
Control_2_2min,Cl2_6,4613.5,0.00799987137750448,✅
HCHO_2,SO2_3,6988.0,0.008002554939062363,✅
Phosphine_5,TA_3,7050.0,0.008025722834655127,✅
Cl2_7,MH-2,7050.0,0.008025797846432214,✅
Diborane_4,MH-3,7050.0,0.008025797846432214,✅
DM_2,SO2_5,4614.0,0.008025835352455666,✅
Ammonia_1,HCN_7,4614.5,0.008051592650958913,✅
Diborane_2,Phosgene_7,7049.5,0.008051743046246878,✅
H2S_5,Hydrazine_2,7049.5,0.008051780645293955,✅
Phosphine_3,SO2_3,7049.0,0.00807768789786316,✅
DM_5,SO2_7,4615.0,0.008077800974343163,✅
TA_2,Hydrazine_5,7048.5,0.008103783168877773,✅
TA_5,Cl2_1,4615.5,0.008103802061592672,✅
DM_4,SO2_5,4616.0,0.008129859150584779,✅
TA_2,Hydrazine_2,7048.0,0.00812989702937361,✅
HCHO_1,F2_2,4616.0,0.008129915968801898,✅
Phosgene_1,NO2_4,4616.0,0.008129972787222202,✅
TA_3,Cl2_6,4616.0,0.00813001066628197,✅
Arsine_3,Hydrazine_7,7047.5,0.008155478655823535,✅
Arsine_6,NO2_2,4616.5,0.008155991272479552,✅
Cl2_3,Hydrazine_1,7047.5,0.00815612417578375,✅
Phosgene_6,Cl2_4,4616.5,0.008156200121026242,✅
Phosgene_5,HNO3_6,7047.0,0.008182427009452207,✅
F2_3,HNO3_7,7047.0,0.008182484109165658,✅
Ammonia_2,SO2_6,4617.5,0.00820876755702412,✅
H2S_1,MH-5,7046.5,0.008208786637222616,✅
Phosphine_6,Cl2_7,4618.0,0.008235183977958492,✅
Phosphine_7,Hydrazine_7,7046.0,0.008235183977958492,✅
HCHO_5,MH-1,7046.0,0.008235222232525048,✅
HCHO_5,Arsine_3,7045.5,0.008261542239083255,✅
Cl2_1,SO2_4,7045.5,0.008261772331901892,✅
Phosgene_5,NO2_4,4618.5,0.008261791506450959,✅
HCN_1,Hydrazine_3,7045.0,0.00828811063804934,✅
Phosgene_7,NO2_4,4619.0,0.008288379741544187,✅
HCHO_4,Control_7_2min,4620.0,0.008341534879893213,✅
HCHO_4,Cl2_7,4620.0,0.008341650778501151,✅
F2_4,MH-2,7044.0,0.008341670095015479,✅
Diborane_4,DM_2,7044.0,0.008341708728112433,✅
Arsine_6,NO2_6,4621.0,0.008395286354859916,✅
F2_1,MH-3,7043.0,0.0083953251781035,✅
Phosgene_2,MH-6,7043.0,0.008395441648381725,✅
DM_2,SO2_3,4621.0,0.008395441648381725,✅
Ammonia_5,HCN_6,4621.0,0.008395499883828744,✅
SO2_6,SO2_7,4621.5,0.008422394827405835,✅
Arsine_4,SO2_7,4622.0,0.008449288838080138,✅
MA_2,F2_5,4622.0,0.008449483910487785,✅
Diborane_2,DM_4,7041.5,0.008476553077052357,✅
HCHO_6,Ammonia_2,7041.0,0.008503719417912711,✅
Phosphine_4,HF_6,7041.0,0.008503739021079454,✅
H2S_1,Cl2_6,4623.0,0.008503817433975441,✅
Diborane_5,Cl2_3,4623.0,0.0085038370372567,✅
H2S_7,Cl2_4,4623.5,0.00853114047806043,✅
Phosgene_4,DM_1,7040.0,0.008558364660710338,✅
Control_5_2min,H2S_5,7039.5,0.008585725844970091,✅
Phosphine_2,TA_7,7039.0,0.008613264247594015,✅
DM_4,SO2_3,4625.0,0.008613383024069337,✅
Diborane_4,HNO3_7,7039.0,0.008613402820229023,✅
Phosgene_2,Ammonia_1,7039.0,0.008613422616411705,✅
MH-1,HNO3_1,4625.5,0.008640742653661297,✅
Diborane_5,F2_5,4625.5,0.008641040321225828,✅
Phosphine_7,H2S_1,4626.0,0.008668597882123303,✅
Phosphine_1,Cl2_1,4626.0,0.008668637668349485,✅
Diborane_4,DM_4,7038.0,0.008668657561497138,✅
Control_3_2min,Ammonia_7,7037.0,0.008724108983197528,✅
Phosgene_2,F2_5,4627.0,0.008724208935363215,✅
Arsine_2,Phosphine_2,7036.5,0.008751682946719134,✅
TA_2,Hydrazine_7,7036.5,0.008752063688264844,✅
H2S_2,MH-1,7036.5,0.008752063688264844,✅
Phosgene_7,Cl2_3,4628.0,0.008780238992898967,✅
HCN_4,Hydrazine_3,7035.5,0.00880807227792409,✅
Control_5_2min,HNO3_7,7035.5,0.0088082132382473,✅
Ammonia_5,Cl2_2,4628.5,0.008808313924886891,✅
DM_3,Cl2_1,4629.0,0.008836408474171822,✅
Diborane_6,DM_3,7035.0,0.008836448847056765,✅
Phosgene_1,HNO3_6,7034.5,0.00886462357179226,✅
Phosphine_7,Hydrazine_5,7034.5,0.008864643807395165,✅
Diborane_4,Phosgene_7,7034.0,0.008892959708373614,✅
Phosgene_6,SO2_5,4630.0,0.008892979993287274,✅
Arsine_7,TA_3,7033.5,0.008921336039074206,✅
H2S_3,Cl2_4,4630.5,0.008921417376295268,✅
HCN_1,Hydrazine_6,7033.0,0.00894960977902105,✅
Phosphine_2,Ammonia_3,7032.5,0.008978311048962387,✅
HCHO_3,MA_1,7032.5,0.008978372348746622,✅
Phosgene_4,Hydrazine_6,7032.0,0.009006971471282564,✅
H2S_7,SO2_3,4632.0,0.009006991954201696,✅
NO2_2,MH-7,7032.0,0.009007094369146871,✅
Phosphine_7,Cl2_2,4632.0,0.009007094369146871,✅
TA_7,SO2_5,4633.0,0.009064537469619466,✅
Phosphine_6,Hydrazine_5,7031.0,0.009064619799998242,✅
H2S_4,Cl2_6,4633.5,0.009093360912880792,✅
HCHO_7,Control_4_2min,4634.5,0.00915119134434468,✅
Control_2_2min,Diborane_5,7029.5,0.00915119134434468,✅
Ammonia_6,Cl2_1,4634.5,0.00915148159961312,✅
Control_7_2min,MA_2,7029.5,0.00915148159961312,✅
Arsine_2,MA_1,7029.0,0.009180156864150392,✅
HCHO_4,Hydrazine_2,7029.0,0.009180468602535899,✅
HCHO_4,F2_2,4635.0,0.009180468602535899,✅
DM_1,HCN_4,4635.0,0.009180551733662458,✅
H2S_7,HNO3_6,7029.0,0.009180634865163956,✅
Arsine_4,HNO3_7,7028.5,0.009209579314845881,✅
Control_3_2min,Hydrazine_1,7028.0,0.009238856003161667,✅
DM_1,HCN_3,4636.0,0.009239023070353672,✅
H2S_6,Cl2_6,4636.0,0.009239064837386422,✅
F2_4,Hydrazine_1,7028.0,0.009239106604513075,✅
HCN_7,Hydrazine_2,7028.0,0.009239127488111622,✅
MH-2,SO2_5,4636.5,0.009268446010097652,✅
Diborane_5,SO2_5,4637.0,0.009297931515952122,✅
F2_2,MH-3,7027.0,0.00929795250061245,✅
Diborane_3,HF_5,7027.0,0.009298036439488977,✅
H2S_2,Hydrazine_4,7026.5,0.009327437567163782,✅
Phosgene_7,Hydrazine_5,7026.0,0.009357153683686021,✅
MH-3,HCN_6,4638.5,0.009386742791318377,✅
Arsine_1,DM_4,7025.0,0.009416373069568856,✅
H2S_4,Ammonia_2,7025.0,0.009416436632655564,✅
Arsine_2,Arsine_4,7024.5,0.009445598411532344,✅
Phosgene_3,MH-5,7024.5,0.009446299277933327,✅
Cl2_5,HNO3_2,7024.5,0.009446554144821382,✅
HCN_5,Hydrazine_4,7024.5,0.009446554144821382,✅
Arsine_3,H2S_2,4640.0,0.00947599090577906,✅
Phosphine_1,HCN_2,7024.0,0.009476267672713376,✅
Phosphine_3,SO2_2,7024.0,0.00947645928293187,✅
TA_3,MH-7,7024.0,0.009476565733880853,✅
TA_6,SO2_7,4640.5,0.009506406197784934,✅
H2S_7,F2_5,4640.5,0.009506555587177525,✅
Control_3_2min,H2S_3,7022.5,0.009566725154172761,✅
Phosgene_7,Hydrazine_7,7022.5,0.009566832374405785,✅
HCHO_7,MH-5,7022.5,0.009566832374405785,✅
Phosphine_6,Cl2_2,4641.5,0.009566918151018957,✅
Diborane_5,NO2_4,4641.5,0.009566982483727778,✅
Phosgene_4,Hydrazine_3,7022.0,0.009597162913040396,✅
HCHO_5,Hydrazine_4,7022.0,0.00959724889586667,✅
Diborane_2,H2S_7,7022.0,0.009597291887422183,✅
H2S_3,F2_5,4642.0,0.009597291887422183,✅
Cl2_7,HNO3_2,7021.5,0.009627643781479765,✅
F2_4,HNO3_2,7021.5,0.009627643781479765,✅
TA_4,F2_6,4642.5,0.009627686876283485,✅
Phosphine_4,HF_4,7021.0,0.009658059660427843,✅
Ammonia_7,Cl2_3,4643.0,0.009658189255008403,✅
H2S_7,Ammonia_1,7020.5,0.009688669479279552,✅
Phosgene_7,HNO3_6,7020.5,0.009688712781099656,✅
Diborane_2,Phosphine_5,4644.5,0.009749756970536089,✅
MA_1,Cl2_1,4644.5,0.009750083290168176,✅
HCHO_3,TA_3,7019.5,0.009750105045000968,✅
Ammonia_5,Cl2_5,4645.0,0.009780974612174326,✅
Diborane_4,Phosgene_2,7018.5,0.009811756339101899,✅
H2S_5,F2_6,4645.5,0.009811821916328312,✅
Diborane_5,SO2_2,4646.0,0.009842777850273458,✅
NO2_4,Hydrazine_3,7018.0,0.009842843584434656,✅
MA_7,HNO3_6,7017.0,0.009905083114558835,✅
TA_5,HNO3_6,7017.0,0.00990510513083077,✅
MH-4,HCN_2,4647.5,0.009936146598370636,✅
Phosphine_2,Phosgene_6,7016.0,0.009967628821526816,✅
Phosgene_2,SO2_3,4648.0,0.009967628821526816,✅
Arsine_5,Phosphine_6,4648.0,0.00996769518592525,✅
Phosphine_6,HNO3_4,4648.0,0.00996769518592525,✅
DM_1,NO2_4,4648.0,0.009967739428977392,✅
Arsine_5,HNO3_5,4648.0,0.009967739428977392,✅
H2S_2,Cl2_6,4649.0,0.01003059288193213,✅
Control_6_2min,MH-3,7014.0,0.010093776931331948,✅
F2_5,SO2_1,7014.0,0.01009386626318842,✅
DM_5,Cl2_1,4650.0,0.010094022594863411,✅
Arsine_2,Control_4_2min,7013.0,0.010156530024237572,✅
HCHO_4,Cl2_2,4651.5,0.010189487942193515,✅
H2S_3,MH-6,7012.5,0.010189555420450028,✅
H2S_3,SO2_3,4651.5,0.010189622898923582,✅
Diborane_7,F2_4,7012.5,0.010189667884693197,✅
DM_4,Cl2_4,4652.0,0.010221728475205537,✅
Arsine_1,Control_1_2min,4652.5,0.010253494639224954,✅
HCN_3,Hydrazine_6,7011.5,0.010253562437724937,✅
Phosgene_5,MH-6,7011.5,0.010253833633898835,✅
Diborane_2,Phosgene_2,7011.0,0.010286028559194386,✅
Cl2_2,Hydrazine_1,7011.0,0.010286051212611134,✅
Ammonia_5,SO2_4,4653.0,0.010286141826519823,✅
HCHO_6,MA_5,4653.5,0.010318358878236851,✅
Phosgene_1,Ammonia_1,7010.0,0.010350825127262897,✅
Phosgene_1,Cl2_3,4654.0,0.010350847888270662,✅
Diborane_7,NO2_2,7010.0,0.010350893410358827,✅
HCHO_2,TA_5,6947.5,0.010372477821495297,✅
H2S_3,Hydrazine_2,7009.0,0.010415961747852417,✅
NO2_1,HNO3_6,7009.0,0.010416007485797284,✅
Diborane_6,DM_5,7008.5,0.010448517610701221,✅
Phosphine_3,MA_6,7008.0,0.010481416839870932,✅
DM_3,Cl2_6,4656.0,0.010481485771695583,✅
MH-5,HCN_3,4656.5,0.010514131717471608,✅
HCHO_7,Cl2_4,4656.5,0.010514223843148342,✅
HCHO_1,MH-6,7007.0,0.010547214563305433,✅
Phosgene_6,Hydrazine_2,7006.5,0.010580320448885636,✅
Ammonia_5,F2_3,4657.5,0.01058036672980584,✅
Diborane_6,TA_1,7006.0,0.010613425905874921,✅
MH-7,HNO3_5,4658.5,0.010646716493490496,✅
DM_2,F2_5,4658.5,0.010646739743221233,✅
NO2_4,Hydrazine_4,7005.5,0.010646762992976353,✅
TA_2,MH-3,7005.0,0.010679890128512694,✅
Phosphine_2,H2S_3,7005.0,0.010679913432859615,✅
Phosgene_2,Cl2_3,4659.0,0.010680029954960235,✅
Diborane_3,HF_3,7005.0,0.01068005325945358,✅
Diborane_5,Hydrazine_5,7005.0,0.010680076563971326,✅
MH-6,HNO3_3,4659.5,0.010713436093175589,✅
Phosphine_6,Hydrazine_7,7004.5,0.010713459452528665,✅
Diborane_2,DM_2,7004.0,0.010746935126365164,✅
TA_1,F2_6,4660.0,0.010747005369368528,✅
MA_5,Hydrazine_2,7004.0,0.01074702878375187,✅
HCN_4,Hydrazine_6,7003.5,0.010780386457472844,✅
MA_2,F2_4,4660.5,0.010780668089696807,✅
HCN_3,Hydrazine_3,7003.0,0.01081407160593558,✅
TA_7,F2_4,4661.0,0.01081430685072641,✅
HCHO_1,Hydrazine_2,7003.0,0.010814330375340131,✅
HCHO_7,MA_5,4661.0,0.010814330375340131,✅
F2_1,Hydrazine_1,7002.5,0.010848015363635506,✅
MA_5,Hydrazine_5,7002.5,0.010848133262827004,✅
TA_7,Cl2_7,4661.5,0.010848133262827004,✅
Phosphine_2,Ammonia_7,7001.5,0.010916020907157159,✅
DM_2,Cl2_4,4662.5,0.01091606828868505,✅
F2_2,Hydrazine_1,7001.0,0.010950082359013789,✅
F2_2,HNO3_2,7001.0,0.010950129851625481,✅
MA_2,SO2_3,4663.0,0.010950129851625481,✅
Control_5_2min,DM_5,7000.5,0.010984238245076034,✅
HCHO_6,Cl2_4,4664.5,0.011052882032572967,✅
MH-1,HNO3_4,4664.5,0.011052953773312007,✅
Phosgene_4,F2_6,4665.0,0.011087298693207126,✅
Ammonia_7,SO2_2,4665.0,0.011087394571209691,✅
DM_3,SO2_7,4665.0,0.01108744251035872,✅
Phosgene_6,NO2_4,4665.0,0.011087466479970182,✅
Ammonia_5,NO2_4,4665.5,0.011122002768324191,✅
Phosphine_6,H2S_6,4666.0,0.011156369704087838,✅
Phosgene_6,F2_5,4667.0,0.011226209994544533,✅
TA_4,Cl2_4,4667.0,0.011226282577743938,✅
Diborane_5,Hydrazine_7,6996.5,0.01126108136124659,✅
Phosgene_5,Cl2_3,4667.5,0.011261154113570272,✅
Ammonia_4,Cl2_4,4667.5,0.011261202615242964,✅
F2_1,HNO3_2,6996.0,0.011296194786786064,✅
H2S_3,NO2_4,4668.0,0.01129626770897411,✅
Phosphine_6,H2S_4,4668.5,0.01133099114569408,✅
Diborane_4,Ammonia_3,6995.5,0.011331307875341631,✅
Diborane_4,TA_7,6995.0,0.011366566696747937,✅
MA_4,Cl2_1,4669.0,0.011366591117509314,✅
MH-3,HNO3_1,4669.5,0.011401580178354027,✅
Arsine_1,Ammonia_5,6994.5,0.011401727042418347,✅
Diborane_2,F2_7,4669.5,0.011401775997304756,✅
MA_2,Cl2_3,4669.5,0.011401947340187965,✅
SO2_2,Hydrazine_1,6994.0,0.011437229392337107,✅
Diborane_2,MA_2,6994.0,0.011437253926783826,✅
Ammonia_3,Cl2_3,4671.0,0.011508503748211375,✅
Diborane_7,HCl_7,6993.0,0.011508553045736962,✅
Cl2_7,Hydrazine_1,6992.5,0.011544152566131725,✅
Ammonia_7,F2_5,4671.5,0.01154417727204565,✅
NO2_7,HNO3_6,6992.5,0.011544251389936581,✅
DM_5,Cl2_6,4671.5,0.011544251389936581,✅
HNO3_5,HNO3_6,6992.0,0.011580072749429425,✅
HCHO_4,F2_1,4672.5,0.011615645215328015,✅
MA_2,SO2_5,4672.5,0.011615918241516449,✅
TA_7,NO2_4,4672.5,0.011615943062228382,✅
HCHO_4,MH-6,6991.0,0.011651563675976046,✅
Ammonia_6,F2_7,4674.0,0.011724196462613624,✅
TA_1,Cl2_4,4674.0,0.011724246449719037,✅
Phosphine_1,SO2_6,6990.0,0.011724246449719037,✅
Cl2_6,HCN_2,6990.0,0.011724271443309153,✅
Ammonia_3,F2_4,4674.0,0.011724321430564195,✅
Ammonia_5,HCN_5,4674.0,0.011724321430564195,✅
Control_6_2min,Hydrazine_1,6989.5,0.011760111921313482,✅
Phosgene_7,Ammonia_1,6989.5,0.011760612945530328,✅
NO2_3,MH-5,6989.5,0.011760612945530328,✅
TA_7,Cl2_2,4675.0,0.011797054305500349,✅
Diborane_5,HNO3_6,6989.0,0.011797104524385624,✅
Control_6_2min,H2S_3,6988.5,0.011833344080679568,✅
HCHO_7,Cl2_3,4676.0,0.011870161846122015,✅
Phosgene_2,NO2_4,4676.0,0.01187018707169012,✅
Phosphine_1,Ammonia_4,6988.0,0.01187018707169012,✅
DM_4,F2_4,4676.0,0.011870212297283224,✅
DM_4,SO2_4,4676.0,0.011870212297283224,✅
TA_7,SO2_3,4676.5,0.011906777573139233,✅
Phosphine_1,TA_6,6987.5,0.011906828140561848,✅
Cl2_5,Hydrazine_1,6986.0,0.012017608766032462,✅
Control_6_2min,Ammonia_7,6986.0,0.012017634225096682,✅
MA_1,Cl2_6,4678.5,0.012054729632243293,✅
Ammonia_3,SO2_3,4679.0,0.012091952096663123,✅
Phosgene_5,Hydrazine_2,6985.0,0.012092003249535247,✅
HNO3_1,Hydrazine_5,6984.0,0.012166471509338363,✅
Control_6_2min,Phosgene_6,6984.0,0.012166677061693248,✅
HCHO_2,MA_6,6922.0,0.012167653913279775,✅
Arsine_2,Cl2_1,4680.5,0.012203845124308593,✅
HCHO_6,MH-4,6983.5,0.012204102653790143,✅
Phosgene_1,HCN_6,4680.5,0.012204128406876638,✅
Phosgene_2,Hydrazine_2,6983.5,0.012204205666287084,✅
HCHO_7,Ammonia_2,6983.5,0.012204231419474203,✅
H2S_2,DM_4,6982.5,0.012279493103871553,✅
DM_2,SO2_4,4681.5,0.012279674204699852,✅
Diborane_5,Phosphine_2,4682.0,0.012317381706236656,✅
Control_5_2min,DM_3,6982.0,0.012317433567965816,✅
Arsine_2,TA_3,6981.5,0.01235500992740004,✅
Cl2_4,SO2_1,6981.5,0.012355321808823939,✅
HCHO_7,NO2_4,4682.5,0.012355373789414285,✅
Cl2_1,SO2_3,6981.0,0.01239344354073944,✅
H2S_7,NO2_4,4683.0,0.012393469590628708,✅
Arsine_5,TA_3,4683.0,0.012393521690482901,✅
Ammonia_3,SO2_5,4683.5,0.012431512690455565,✅
SO2_5,HNO3_7,6980.5,0.012431538799900586,✅
Diborane_4,MA_2,6980.5,0.012431564909370857,✅
Diborane_2,Ammonia_3,6980.0,0.012469633098436973,✅
Arsine_7,DM_6,6980.0,0.012469868620802517,✅
TA_7,Cl2_5,4684.5,0.012508198076611538,✅
Arsine_1,DM_2,6979.0,0.01254631637733355,✅
MH-5,HCN_1,4685.0,0.012546368954738513,✅
SO2_1,Hydrazine_5,6978.0,0.01262378685379918,✅
Arsine_7,Diborane_2,6978.0,0.012623839671996567,✅
H2S_1,MH-4,6978.0,0.012623839671996567,✅
H2S_1,Ammonia_2,6978.0,0.012623892490295208,✅
DM_4,Cl2_3,4686.0,0.012623945308695175,✅
Control_7_2min,SO2_1,6977.0,0.01270117602544284,✅
HNO3_1,Hydrazine_2,6977.0,0.012701467850285073,✅
H2S_3,HNO3_6,6977.0,0.012701573969170134,✅
H2S_6,Hydrazine_4,6976.5,0.012740240744957939,✅
H2S_6,MH-1,6976.0,0.012779278442596008,✅
Cl2_6,HCN_1,6976.0,0.012779464995964546,✅
HCHO_4,HNO3_6,6976.0,0.01277949164654728,✅
HCHO_6,NO2_4,4688.0,0.012779544947788938,✅
Phosphine_2,Cl2_6,4688.0,0.01277965155057684,✅
Phosgene_1,SO2_4,4688.5,0.01281876925095487,✅
Control_5_2min,Cl2_6,4688.5,0.01281876925095487,✅
Ammonia_4,F2_6,4688.5,0.012818876096402016,✅
MA_2,F2_1,4689.0,0.012858180342494894,✅
HNO3_4,Hydrazine_5,6974.5,0.012897591181453371,✅
MA_2,Cl2_7,4689.5,0.012897591181453371,✅
Phosphine_7,HCN_1,4690.0,0.012936651662249369,✅
HCHO_1,H2S_6,4690.0,0.012936839917410655,✅
Ammonia_7,Cl2_7,4690.5,0.012976733607331785,✅
MH-1,SO2_6,4691.0,0.013016384631672906,✅
HCN_6,HNO3_7,6972.5,0.013055980390134336,✅
HCHO_7,MH-4,6972.5,0.013056169930242355,✅
HCHO_3,DM_6,6972.5,0.01305622408478832,✅
Phosgene_3,MH-4,6972.0,0.013096062791316025,✅
Ammonia_3,F2_2,4692.5,0.013136253858774653,✅
NO2_3,Hydrazine_2,6971.0,0.013176444791694069,✅
Ammonia_2,HCN_2,4694.0,0.01325685166375632,✅
Ammonia_7,SO2_5,4694.0,0.013257070743595393,✅
Ammonia_4,SO2_7,4694.0,0.0132571255138107,✅
Diborane_7,HF_7,6969.5,0.013297588224249472,✅
H2S_3,Cl2_3,4694.5,0.013297615671226561,✅
Arsine_3,Ammonia_1,6969.0,0.013337224802794886,✅
DM_4,F2_1,4695.0,0.01333818759942253,✅
Control_7_2min,NO2_4,4695.5,0.013378813788061914,✅
HCHO_5,Phosphine_6,6968.5,0.013378813788061914,✅
Phosphine_2,SO2_7,4695.5,0.013378841358980964,✅
MA_7,MH-6,6968.5,0.013378841358980964,✅
H2S_7,MH-6,6968.5,0.01337886892992559,✅
SO2_6,Hydrazine_4,6968.5,0.01337889650089583,✅
Phosgene_7,MA_5,4696.5,0.013460643871516633,✅
MH-3,HNO3_4,4697.0,0.013501571805168271,✅
F2_3,MH-3,6967.0,0.013501627320565533,✅
Ammonia_1,HNO3_4,4697.0,0.013501627320565533,✅
Phosgene_3,Ammonia_2,6967.0,0.013501627320565533,✅
Phosphine_7,F2_3,4697.0,0.01350165507830262,✅
Diborane_6,H2S_1,6966.5,0.013542721036947316,✅
Diborane_4,Ammonia_7,6966.5,0.01354283231771717,✅
DM_4,HCN_6,4698.0,0.013584008916861425,✅
Phosphine_4,HCl_7,6966.0,0.013584120448015123,✅
Phosphine_6,HCN_2,4698.5,0.013625156428801823,✅
H2S_2,Ammonia_5,6965.0,0.013666834321645492,✅
Ammonia_3,F2_1,4699.5,0.013708484253551874,✅
H2S_7,Cl2_3,4699.5,0.013708568466928238,✅
Ammonia_3,HCN_6,4700.0,0.013749992995803012,✅
Phosphine_6,SO2_6,4700.0,0.013750077397577316,✅
SO2_1,Hydrazine_7,6964.0,0.013750105531553506,✅
Phosgene_1,MH-6,6963.5,0.013791923037690569,✅
Phosgene_6,Cl2_3,4700.5,0.01379203582617903,✅
SO2_7,HCN_3,6963.0,0.013833796289518354,✅
MA_5,Ammonia_1,6963.0,0.013833881070243857,✅
Diborane_6,Ammonia_4,6963.0,0.013833937590856207,✅
SO2_2,HNO3_7,6963.0,0.013833994111571522,✅
MH-3,SO2_4,4701.5,0.013875951747110699,✅
TA_7,HCN_6,4701.5,0.013875980070716274,✅
Phosgene_7,MH-6,6962.5,0.013875980070716274,✅
HNO3_1,Hydrazine_7,6962.0,0.013917595972079762,✅
Phosphine_2,Hydrazine_1,6962.0,0.013917823065048535,✅
Ammonia_7,F2_4,4702.0,0.013918192094639289,✅
Phosphine_4,NO2_7,6962.0,0.013918220481711227,✅
SO2_1,SO2_4,4702.5,0.013960204439945303,✅
TA_5,MH-6,6961.5,0.01396037514232173,✅
H2S_4,MH-1,6961.0,0.014002500000567976,✅
H2S_4,Hydrazine_4,6961.0,0.014002642570068086,✅
Phosgene_6,SO2_3,4703.0,0.014002728112077582,✅
DM_2,F2_4,4703.0,0.014002899196792817,✅
