Sample A,Sample B,U Statistic,p-value,Significant?
Diborane_7,Phosgene_1,9113.0,9.135223882413763e-13,✅
Diborane_3,H2S_2,9092.0,1.2728391421051039e-12,✅
Diborane_7,H2S_7,9083.5,1.4550287049534774e-12,✅
Diborane_7,MH-4,9076.0,1.6367311717430738e-12,✅
Arsine_6,SO2_7,2595.5,1.8403098421626626e-12,✅
Diborane_7,Phosgene_2,9053.0,2.3442981875320595e-12,✅
Diborane_3,H2S_6,9048.0,2.5336891040775543e-12,✅
Diborane_3,H2S_4,9045.0,2.6546247222879536e-12,✅
Diborane_7,Phosgene_6,9035.0,3.100233854859394e-12,✅
Diborane_3,Phosgene_3,9034.5,3.1240040947646705e-12,✅
Control_1_2min,Diborane_7,2630.5,3.1727840716553046e-12,✅
HCHO_4,Phosphine_3,2636.5,3.479750335873682e-12,✅
HCHO_7,Phosphine_4,2643.0,3.848700511467598e-12,✅
Diborane_7,MH-3,9020.0,3.908493009410391e-12,✅
Phosphine_4,MH-6,9018.0,4.030764051667384e-12,✅
Control_2_2min,Phosphine_4,2647.5,4.1240027630976e-12,✅
Diborane_3,H2S_1,9007.0,4.773859560715314e-12,✅
HCHO_2,Phosphine_7,8930.5,4.809065686280277e-12,✅
HCHO_6,Phosphine_4,2664.0,5.314062901168037e-12,✅
HCHO_1,Phosphine_3,2673.0,6.099465827882741e-12,✅
Phosphine_5,Phosphine_7,8979.5,7.268159494196505e-12,✅
Arsine_5,Phosphine_5,2687.0,7.549608443318826e-12,✅
HCHO_2,HCHO_4,8897.0,8.04966078841294e-12,✅
Phosphine_4,H2S_3,8971.0,8.271684491689618e-12,✅
Arsine_3,Phosphine_3,2696.0,8.652894616593937e-12,✅
Control_6_2min,Phosphine_4,2696.5,8.72236225825641e-12,✅
Arsine_7,Phosphine_7,8966.5,8.855917671697325e-12,✅
Arsine_5,Arsine_7,2698.5,8.991603069626324e-12,✅
Phosphine_4,MH-5,8959.0,9.920838568235097e-12,✅
Arsine_4,Diborane_7,2709.0,1.054014969112958e-11,✅
Phosphine_4,Phosgene_5,8953.5,1.0782497194320506e-11,✅
Phosphine_4,Phosgene_1,8949.5,1.1453296616441775e-11,✅
HCHO_3,Arsine_5,8940.0,1.3215619017335232e-11,✅
Diborane_1,Phosphine_4,2730.5,1.456916331746506e-11,✅
Diborane_3,HNO3_7,8931.0,1.512903623394584e-11,✅
Diborane_7,SO2_1,8930.0,1.5356797811844424e-11,✅
Phosphine_4,HNO3_6,8928.0,1.58250641235364e-11,✅
Diborane_5,Diborane_7,2744.0,1.7837826200308046e-11,✅
Diborane_7,H2S_5,8919.0,1.8106443347995085e-11,✅
Diborane_7,MH-1,8918.5,1.824223323979989e-11,✅
HCHO_5,Diborane_7,2755.5,2.1177228119687584e-11,✅
Arsine_2,Arsine_5,8906.5,2.1812057008280435e-11,✅
Diborane_7,H2S_2,8906.0,2.19791907498631e-11,✅
Phosphine_4,Phosgene_7,8906.0,2.197978939220979e-11,✅
Diborane_7,MH-2,8898.5,2.4572679010391415e-11,✅
HCHO_2,Arsine_3,8823.0,2.4653903675907607e-11,✅
Arsine_6,Diborane_4,2775.0,2.8285318827232617e-11,✅
Arsine_1,Arsine_6,8887.0,2.9115503813468356e-11,✅
Phosphine_4,H2S_7,8883.5,3.0687670954670566e-11,✅
